I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:01:30,   513589,        0,       0,      26, 5734.46,   61763,        0,   22701,        0,       7,       0,       0,    3012,       0,       0,       0,       4,       6,       0,       0,       0,       0,       0,       0,    1340,       0,       0
01/03/2017, 00:01:40,   897835,        0,       0,      16,13077.19,   51604,        0,   40415,        0,       9,       0,       0,    3638,       0,       0,       0,      14,      17,       0,       0,       0,       0,       0,       0,    1340,       0,       0
01/03/2017, 00:01:50,   602389,        0,       0,       0,       0,   42771,        0,   25724,        0,       8,       0,       0,    3758,       0,       0,       0,       4,      54,       0,       0,       0,       0,       0,       0,    1340,       0,       0
01/03/2017, 00:02:00,   450946,        0,       0,       3,  100439,   35671,        0,   21281,        0,       3,       0,       0,     165,    3928,       5,       7,      10,      45,       0,       0,       0,       0,       0,       0,    1340,       0,       0
01/03/2017, 00:02:10,   424612,        0,       0,       0,       0,   41351,        0,   14732,        0,       1,       0,     409,     760,       0,       0,       5,       1,      54,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:02:20,   455305,        0,       0,       0,       0,   47235,        0,   12329,        0,       3,       0,       0,    1002,       0,       0,       0,       4,      64,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:02:30,   364943,        0,       0,       1,  214265,   25494,        0,   17526,        0,       1,       0,       0,    1635,       0,       0,       0,       5,      31,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:02:40,   359086,        0,       0,       0,       0,   34913,        0,   14186,        0,       2,       0,       0,    1841,       0,       0,       0,       0,      44,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:02:50,   336705,        0,       0,       1,  193511,   25401,        0,   22838,        0,      15,       0,       0,    2359,       0,       0,       0,       8,      29,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:03:00,   384910,        0,       0,       0,       0,   22464,        0,   19715,        0,       3,       0,       0,    2622,       0,       0,       0,       1,      28,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:03:10,   417866,        0,       0,       0,       0,   36111,        0,   17081,        0,       3,       0,       0,    2924,       0,       0,       0,       5,      46,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:03:20,   401970,        0,       0,       1,  276229,   32129,        0,   28790,        0,       6,       0,       0,    3612,       0,       0,       0,       2,      41,       0,       0,       0,       0,       0,       0,    1341,       0,       0
01/03/2017, 00:03:30,   426703,        0,       0,       1,  189553,   19121,        0,   35662,        0,       9,       0,     373,    1028,       0,       0,      12,       4,      22,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:03:40,   430216,        0,       0,       0,       0,   30541,        0,   36907,        0,      16,       0,       0,    1834,       0,       0,       0,       4,      37,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:03:50,   388392,        0,       0,       0,       0,   33804,        0,   23691,        0,       5,       0,       0,    2468,       0,       0,       0,       3,      42,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:00,   478244,        0,       0,       0,       0,   20068,        0,   19668,        0,       2,       0,       0,    2954,       0,       0,       0,       0,      27,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:10,   368944,        0,       0,       0,       0,   38540,        0,   14731,        0,       2,       0,       0,    3529,       0,       0,       0,       0,      49,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:20,   290389,        0,       0,       1,  169992,   19600,        0,   29926,        0,       3,       0,       0,    4440,       0,       0,       0,       3,      22,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:30,   282834,        0,       0,       1,  156571,   16491,        0,   36010,        0,       3,       0,       0,    5404,       0,       0,       0,       1,      18,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:40,   344905,        0,       0,       9,19965.44,   42510,        0,   26914,        0,       5,       0,       0,    6272,       0,       0,       0,       1,      20,       0,       0,       0,       0,       0,       0,    1342,       0,       0
01/03/2017, 00:04:50,   305798,        0,       0,       1,  222351,   27615,        0,   20277,        0,       1,       0,     639,     918,       0,       0,      21,       3,      34,       0,       0,       0,       0,       0,       0,    1343,       0,       0
01/03/2017, 00:05:00,   405952,        0,       0,       1,  310667,   36205,        0,   24257,        0,       6,       0,       0,    1575,       0,       0,       0,       1,      46,       0,       0,       0,       0,       0,       0,    1343,       0,       0
01/03/2017, 00:05:10,   551018,        0,       0,       0,       0,   38260,        0,   18400,        0,       2,       0,       0,    2184,       0,       0,       0,      18,      49,       0,       0,       0,       0,       0,       0,    1343,       0,       0
